,order_id,user_id,estimated arrival,transaction_date
4,b4c411de-2fd3-4806-91ae-165edc9baa12,USER28531,13days,2021-10-12
7,d42d7e7a-71bd-43aa-8bed-49d52b74d4eb,USER56935,13days,2021-10-15
41,84295de8-90c2-4e67-a1d9-b1ffab45623f,USER11824,13days,2021-10-11
43,74a59808-b7f5-4dc1-b441-a8e0e15b49b6,USER51578,15days,2021-10-22
61,b3965e7d-23d7-475b-93f0-13b49a999030,USER51925,9days,2021-10-09
65,b686ebbd-5349-455d-913d-468132dc3034,USER15061,11days,2021-11-30
77,c9d73340-75ba-4ad0-9e56-7ea82003ef5d,USER58907,8days,2021-12-09
102,b620ebab-c44d-4372-9fc7-838800d31287,USER38831,8days,2021-10-05
106,a1b5cfe0-54f5-49f4-b9f3-6975aa67d282,USER15366,15days,2021-10-30
130,f7701cdd-f012-41c6-a564-cd5020582c5c,USER62662,11days,2021-12-23
139,599c1ed0-5fd0-4261-adc6-c166a2c8d9c0,USER12112,13days,2021-12-07
146,cbd62262-53a8-4734-bf4f-98c3d69213d5,USER44979,15days,2021-11-27
160,4ab62b3b-2ef8-44b9-b3bd-b9ee944a79d2,USER12334,11days,2021-12-27
171,7fb8e1ce-6ac7-4759-a607-be35f487bc70,USER51864,6days,2021-12-17
172,2e0f14a7-162b-4c8f-be15-7cb321ef9a95,USER00961,9days,2021-10-27
180,a5e065e9-919e-4826-9995-fcc1eebe786b,USER46821,15days,2021-12-28
201,3a45a602-8773-44a9-b662-b3c6d2380d0c,USER17253,14days,2021-10-11
208,c92780cb-c209-4644-bebe-8cef40c5e6b5,USER43214,6days,2021-10-20
240,8404cc5a-4616-4555-ad44-d5b9c444c9f9,USER08571,6days,2021-10-02
249,2f1fe84c-3218-4ec2-9caa-9cb71ca70ba2,USER18857,15days,2021-10-21
273,b84bffba-433e-462e-b0c2-9a11728e7ffe,USER48731,4days,2021-12-25
290,dbba3855-bead-49c9-8444-876587c663a9,USER19071,14days,2021-12-25
302,aa100e02-a927-4f61-8511-0d1d9ad33e1a,USER24295,6days,2021-12-07
315,5d969f15-c865-4689-b270-089e7c0389a7,USER06065,3days,2021-10-08
318,675e3e4e-8a0b-4135-8792-e351b9a0061c,USER57234,4days,2021-10-24
321,7892e710-172f-4779-a46c-995cdd9f5917,USER37774,13days,2021-11-02
330,b8013cf9-5369-464d-90d3-f590b66981fd,USER49220,3days,2021-11-15
